survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,sex_label,priority,priority_encoded,embarked_C,embarked_Q,embarked_S,age_minmax,fare_maxabs,fare_robust
0.0,1.3862943611198906,male,-0.5657364610748746,0.6931471805599453,0.0,2.1102132003465894,S,Third,man,0.6934,Southampton,no,0.0,0.6931471805599453,High,1.0986122886681098,0.0,0.0,0.6934,0.2399406168029818,0.014051866028611946,-0.3120106021758714
0.6931471805599453,0.6931471805599453,female,0.6638610320657843,0.6931471805599453,0.0,4.2805931204649,C,First,woman,0.0,Cherbourg,yes,0.0,0.0,Low,0.0,0.6934,0.0,0.0,0.38677771696075014,0.13026984802557676,2.4612422909015312
0.6931471805599453,1.3862943611198906,female,-0.2583370877897099,0.0,0.0,2.188856327665703,S,Third,woman,0.0,Southampton,yes,0.6934,0.0,High,1.0986122886681098,0.0,0.0,0.6934,0.2787201948628979,0.015350151109302478,-0.2827766613540295
0.6931471805599453,0.6931471805599453,female,0.4333115021019107,0.6931471805599453,0.0,3.9908341858524357,S,First,woman,0.0,Southampton,yes,0.0,0.0,Medium,0.6931471805599453,0.0,0.0,0.6934,0.36083816816979836,0.0986177016054804,1.6737318966114614
0.0,1.3862943611198906,male,0.4333115021019107,0.0,0.0,2.2027647577118348,S,Third,man,0.6934,Southampton,no,0.6934,0.6931471805599453,Low,0.0,0.0,0.0,0.6934,0.36083816816979836,0.015590389411477275,-0.277362968609244
0.0,1.3862943611198906,male,-0.10463740114712752,0.0,0.0,2.246892662898172,Q,Third,man,0.6934,Queenstown,no,0.6934,0.6931471805599453,Medium,0.6931471805599453,0.0,0.6934,0.0,0.29756023967762535,0.016374701896558375,-0.25967968262767654
0.0,0.6931471805599453,male,1.893458525206443,0.0,0.0,3.967694202798607,S,First,man,0.6934,Southampton,no,0.6934,0.6931471805599453,Low,0.0,0.0,0.0,0.6934,0.5147886077080416,0.09642670019066911,1.6201363384380845
0.0,1.3862943611198906,male,-2.1027333275006983,1.3862943611198906,0.6931471805599453,3.0944457464900235,S,Third,child,0.0,Southampton,no,0.0,0.6931471805599453,Medium,0.6931471805599453,0.0,0.0,0.6934,0.019659709958831414,0.0403120985590007,0.2867438153974083
0.6931471805599453,1.3862943611198906,female,-0.1814872444684187,0.0,1.0986122886681098,2.495953738718064,S,Third,woman,0.0,Southampton,yes,0.0,0.0,High,1.0986122886681098,0.0,0.0,0.6934,0.28818458502516947,0.02149800733332496,-0.14382665788926616
0.6931471805599453,1.0986122886681098,female,-1.180535207645204,0.6931471805599453,0.0,3.436268471383741,C,Second,child,0.0,Cherbourg,yes,0.0,0.0,Medium,0.6931471805599453,0.6934,0.0,0.0,0.15755564001735767,0.05703634945252448,0.6763477929457417
